GeneID	GOTerms_num	GO_Anno	KEGG_entry	KEGG_url	KOG_class	KOG_class_annotation	NR_ID	E_value	Identity	Score	Annotation	NT_ID	E_value	Identity	Score	Annotation	Swissprot_ID	E_value	Identity	Score	Annotation	category
HJ_1-10k_transcript/250847	9	"GO:0004338: glucan exo-1,3-beta-glucosidase activity (molecular_function); GO:0004565: beta-galactosidase activity (molecular_function); GO:0005576: extracellular region (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0033907: beta-D-fucosidase activity (molecular_function); GO:0047701: beta-L-arabinosidase activity (molecular_function); GO:0080083: beta-gentiobiose beta-glucosidase activity (molecular_function); GO:0102483: scopolin beta-glucosidase activity (molecular_function); GO:1901657: glycosyl compound metabolic process (biological_process);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020249970.1	1.40E-164	267/340(78.53)	5.85E+02	beta-glucosidase 12-like [Asparagus officinalis]	XM_020394381.1	0	858/1059(81.02)	8.37E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 12-like (LOC109827377), mRNA"	sp|Q7XKV4|BGL12_ORYSJ	1.10E-147	231/339(68.14)	524	Beta-glucosidase 12 OS=Oryza sativa subsp. japonica GN=BGLU12 PE=1 SV=2	Bglu
HJ_1-10k_transcript/224034	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020247293.1	1.10E-56	127/249(51.00)	227	beta-glucosidase 31-like isoform X1 [Asparagus officinalis] 	XM_020392844.1	5.00E-80	300/364(82.42)	3.09E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825926), mRNA"	sp|B7F7K7|BGL31_ORYSJ	5.20E-50	110/234(47.01)	200	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/222147	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020274142.1	4.30E-32	76/150(50.67)	1.45E+02	beta-glucosidase 22-like isoform X1 [Asparagus officinalis] 	XM_039124566.1	3.00E-32	164/205(80.00)	1.50E+02	"PREDICTED: Phoenix dactylifera beta-glucosidase 22-like (LOC103715308), transcript variant X6, mRNA"	sp|Q60DX8|BGL22_ORYSJ	3.90E-21	55/133(41.35)	104	Beta-glucosidase 22 OS=Oryza sativa subsp. japonica GN=BGLU22 PE=2 SV=1	Bglu
HJ_1-10k_transcript/26327	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	KAF8403883.1	1.50E-72	120/194(61.86)	2.81E+02	hypothetical protein HHK36_011989 [Tetracentron sinense]	XM_025800694.2	3.00E-15	238/330(72.12)	9.53E+01	"PREDICTED: Arachis hypogaea cyanogenic beta-glucosidase (LOC112751534), transcript variant X2, mRNA"	sp|Q7F9K4|BGL10_ORYSJ	4.10E-71	115/173(66.47)	271	Beta-glucosidase 10 OS=Oryza sativa subsp. japonica GN=BGLU10 PE=2 SV=1	Bglu
HJ_1-10k_transcript/157803	3	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0016740: transferase activity (molecular_function);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020274525.1	4.00E-245	401/517(77.56)	8.53E+02	beta-glucosidase 22-like [Asparagus officinalis]	XM_020418936.1	0	1177/1414(83.24)	1.29E+03	"PREDICTED: Asparagus officinalis beta-glucosidase 22-like (LOC109849126), mRNA"	sp|Q60DX8|BGL22_ORYSJ	3.20E-198	317/481(65.90)	693	Beta-glucosidase 22 OS=Oryza sativa subsp. japonica GN=BGLU22 PE=2 SV=1	Bglu
HJ_1-10k_transcript/132828	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05350|bglB	http://www.genome.jp/dbget-bin/www_bget?ko:K05350	[G]	Carbohydrate transport and metabolism 	XP_020259696.1	5.90E-19	39/58(67.24)	102	beta-glucosidase 18-like [Asparagus officinalis]	XM_020397277.1	1.00E-27	95/106(89.62)	1.35E+02	"PREDICTED: Asparagus officinalis dynamin-related protein 3A-like (LOC109830119), transcript variant X2, mRNA"	sp|Q9SVS1|BGL47_ARATH	1.80E-16	37/74(50.00)	89	Beta-glucosidase 47 OS=Arabidopsis thaliana GN=BGLU47 PE=3 SV=2	Bglu
HJ_1-10k_transcript/265557	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05349|bglX	http://www.genome.jp/dbget-bin/www_bget?ko:K05349	--	--	AFS50097.1	2.00E-173	285/368(77.45)	6.14E+02	beta-D-glucan exohydolase [Elaeis guineensis]	XM_039129524.1	2.00E-103	828/1131(73.21)	3.87E+02	"PREDICTED: Phoenix dactylifera beta-glucosidase BoGH3B-like (LOC103708257), transcript variant X6, mRNA"	sp|A7LXU3|BGH3B_BACO1	2.10E-41	124/402(30.85)	171	Beta-glucosidase BoGH3B OS=Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153) GN=BACOVA_02659 PE=1 SV=1	Bglu
HJ_1-10k_transcript/262360	2	"GO:0008152: metabolic process (biological_process); GO:0016798: hydrolase activity, acting on glycosyl bonds (molecular_function);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	ONK81818.1	4.20E-179	296/362(81.77)	6.33E+02	"uncharacterized protein A4U43_C01F33180, partial [Asparagus officinalis]"	XM_017762783.1	7.00E-48	376/507(74.16)	2.02E+02	"PREDICTED: Gossypium arboreum beta-glucosidase 12-like (LOC108462875), transcript variant X2, mRNA"	sp|B8AVF0|BGL12_ORYSI	3.20E-146	242/413(58.60)	519	Beta-glucosidase 12 OS=Oryza sativa subsp. indica GN=BGLU12 PE=3 SV=1	Bglu
HJ_1-10k_transcript/175164	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020247293.1	3.00E-43	91/142(64.08)	1.83E+02	beta-glucosidase 31-like isoform X1 [Asparagus officinalis] 	XM_020392844.1	4.00E-52	286/364(78.57)	2.17E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825926), mRNA"	sp|B7F7K7|BGL31_ORYSJ	3.30E-38	77/142(54.23)	161	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/190959	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020247293.1	4.60E-240	391/507(77.12)	8.36E+02	beta-glucosidase 31-like isoform X1 [Asparagus officinalis] 	XM_020391705.1	0	1218/1476(82.52)	1.28E+03	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825027), transcript variant X2, mRNA"	sp|B7F7K7|BGL31_ORYSJ	9.50E-181	301/488(61.68)	634	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/179330	2	"GO:0008152: metabolic process (biological_process); GO:0016798: hydrolase activity, acting on glycosyl bonds (molecular_function);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	ONK81818.1	3.00E-228	375/455(82.42)	797	"uncharacterized protein A4U43_C01F33180, partial [Asparagus officinalis]"	XM_020413440.1	0	1126/1392(80.89)	1.09E+03	"PREDICTED: Asparagus officinalis beta-glucosidase 12-like (LOC109844421), mRNA"	sp|B8AVF0|BGL12_ORYSI	2.00E-175	290/507(57.20)	617	Beta-glucosidase 12 OS=Oryza sativa subsp. indica GN=BGLU12 PE=3 SV=1	Bglu
HJ_1-10k_transcript/170969	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05350|bglB	http://www.genome.jp/dbget-bin/www_bget?ko:K05350	[G]	Carbohydrate transport and metabolism 	XP_020263929.1	2.10E-261	416/480(86.67)	907	beta-glucosidase 1-like [Asparagus officinalis] 	DQ289594.1	0	1093/1426(76.65)	7.69E+02	"Oncidium Gower Ramsey beta-mannosidase 2 mRNA, complete cds"	sp|Q5QMT0|BGL01_ORYSJ	2.60E-226	363/472(76.91)	786	Beta-glucosidase 1 OS=Oryza sativa subsp. japonica GN=BGLU1 PE=2 SV=1	Bglu
HJ_1-10k_transcript/48173	4	GO:0005975: carbohydrate metabolic process (biological_process); GO:0008422: beta-glucosidase activity (molecular_function); GO:0102483: scopolin beta-glucosidase activity (molecular_function); GO:1901657: glycosyl compound metabolic process (biological_process);	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020249967.1	1.20E-86	151/207(72.95)	327	beta-glucosidase 12-like isoform X3 [Asparagus officinalis] 	XM_025800694.2	4.00E-14	112/143(78.32)	9.16E+01	"PREDICTED: Arachis hypogaea cyanogenic beta-glucosidase (LOC112751534), transcript variant X2, mRNA"	sp|Q7F9K4|BGL10_ORYSJ	2.30E-78	137/208(65.87)	295	Beta-glucosidase 10 OS=Oryza sativa subsp. japonica GN=BGLU10 PE=2 SV=1	Bglu
HJ_1-10k_transcript/253135	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_008801184.2	8.80E-42	90/131(68.70)	1.77E+02	beta-glucosidase 31-like [Phoenix dactylifera]	XM_020392844.1	1.00E-55	229/280(81.79)	2.28E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825926), mRNA"	sp|B7F7K7|BGL31_ORYSJ	7.40E-37	72/105(68.57)	156	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/191472	2	GO:0008422: beta-glucosidase activity (molecular_function); GO:1901657: glycosyl compound metabolic process (biological_process);	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020249967.1	3.00E-58	106/156(67.95)	2.32E+02	beta-glucosidase 12-like isoform X3 [Asparagus officinalis] 	XM_016642284.1	6.00E-10	60/69(86.96)	7.68E+01	"PREDICTED: Nicotiana tabacum beta-glucosidase 40-like (LOC107816558), mRNA"	sp|Q7F9K4|BGL10_ORYSJ	3.00E-54	98/155(63.23)	214	Beta-glucosidase 10 OS=Oryza sativa subsp. japonica GN=BGLU10 PE=2 SV=1	Bglu
HJ_1-10k_transcript/242004	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_008801184.2	2.30E-40	79/94(84.04)	1.72E+02	beta-glucosidase 31-like [Phoenix dactylifera]	XM_020392844.1	1.00E-55	229/280(81.79)	2.28E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825926), mRNA"	sp|B7F7K7|BGL31_ORYSJ	8.70E-36	68/94(72.34)	152	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/157538	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	PKA66702.1	4.20E-114	233/438(53.20)	4.18E+02	Beta-glucosidase 12 [Apostasia shenzhenica]	XM_028700484.1	0	1165/1496(77.87)	8.78E+02	"PREDICTED: Dendrobium catenatum furostanol glycoside 26-O-beta-glucosidase-like (LOC110100117), mRNA"	sp|Q42707|F26G_CHESP	7.20E-70	154/388(39.69)	266	Furostanol glycoside 26-O-beta-glucosidase OS=Cheilocostus speciosus GN=F26G PE=1 SV=1	Bglu
HJ_1-10k_transcript/47716	6	"GO:0004338: glucan exo-1,3-beta-glucosidase activity (molecular_function); GO:0004565: beta-galactosidase activity (molecular_function); GO:0033907: beta-D-fucosidase activity (molecular_function); GO:0047701: beta-L-arabinosidase activity (molecular_function); GO:0071704: organic substance metabolic process (biological_process); GO:0080083: beta-gentiobiose beta-glucosidase activity (molecular_function);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020249967.1	3.90E-90	176/312(56.41)	339	beta-glucosidase 12-like isoform X3 [Asparagus officinalis] 	XM_016642284.1	1.00E-09	60/69(86.96)	7.68E+01	"PREDICTED: Nicotiana tabacum beta-glucosidase 40-like (LOC107816558), mRNA"	sp|B8AVF0|BGL12_ORYSI	5.90E-82	160/305(52.46)	307	Beta-glucosidase 12 OS=Oryza sativa subsp. indica GN=BGLU12 PE=3 SV=1	Bglu
HJ_1-10k_transcript/206137	--	--	K05349|bglX	http://www.genome.jp/dbget-bin/www_bget?ko:K05349	--	--	XP_020268446.1	9.80E-208	349/411(84.91)	7.29E+02	uncharacterized protein LOC109843897 [Asparagus officinalis]	XM_020412857.1	0	1293/1539(84.02)	1.47E+03	"PREDICTED: Asparagus officinalis beta-glucosidase BoGH3B-like (LOC109843897), mRNA"	sp|A7LXU3|BGH3B_BACO1	5.40E-45	131/409(32.03)	183	Beta-glucosidase BoGH3B OS=Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153) GN=BACOVA_02659 PE=1 SV=1	Bglu
HJ_1-10k_transcript/160525	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05350|bglB	http://www.genome.jp/dbget-bin/www_bget?ko:K05350	[G]	Carbohydrate transport and metabolism 	XP_020259696.1	4.40E-223	360/501(71.86)	780	beta-glucosidase 18-like [Asparagus officinalis]	XM_042526491.1	2.00E-70	936/1315(71.18)	2.78E+02	"PREDICTED: Zingiber officinale beta-glucosidase 16-like (LOC121975091), transcript variant X2, mRNA"	sp|Q7XSK0|BGL18_ORYSJ	8.30E-186	299/488(61.27)	651	Beta-glucosidase 18 OS=Oryza sativa subsp. japonica GN=BGLU18 PE=3 SV=2	Bglu
HJ_1-10k_transcript/183372	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020247293.1	1.80E-141	235/314(74.84)	5.09E+02	beta-glucosidase 31-like isoform X1 [Asparagus officinalis] 	XM_020391706.1	0	1048/1301(80.55)	9.72E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825027), transcript variant X3, mRNA"	sp|B7F7K7|BGL31_ORYSJ	8.60E-116	193/320(60.31)	419	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/96728	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020247293.1	1.20E-49	100/158(63.29)	204	beta-glucosidase 31-like isoform X1 [Asparagus officinalis] 	XM_020392844.1	8.00E-80	300/364(82.42)	3.09E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825926), mRNA"	sp|B7F7K7|BGL31_ORYSJ	4.00E-44	86/158(54.43)	181	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/148638	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_008801184.2	4.10E-99	164/204(80.39)	3.68E+02	beta-glucosidase 31-like [Phoenix dactylifera]	XM_020391706.1	3.00E-158	513/614(83.55)	5.69E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825027), transcript variant X3, mRNA"	sp|Q0J0G2|BGL32_ORYSJ	2.00E-89	138/204(67.65)	331	Beta-glucosidase 32 OS=Oryza sativa subsp. japonica GN=BGLU32 PE=2 SV=2	Bglu
HJ_1-10k_transcript/67721	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020247295.1	5.20E-230	372/478(77.82)	8.03E+02	beta-glucosidase 31-like isoform X2 [Asparagus officinalis]	XM_020391706.1	0	1172/1426(82.19)	1.21E+03	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825027), transcript variant X3, mRNA"	sp|B7F7K7|BGL31_ORYSJ	4.70E-171	285/469(60.77)	603	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/247033	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05350|bglB	http://www.genome.jp/dbget-bin/www_bget?ko:K05350	[G]	Carbohydrate transport and metabolism 	XP_020263929.1	5.70E-214	338/387(87.34)	749	beta-glucosidase 1-like [Asparagus officinalis] 	DQ289595.1	0	895/1162(77.02)	6.51E+02	"Oncidium Gower Ramsey beta-mannosidase 1 mRNA, complete cds"	sp|Q5QMT0|BGL01_ORYSJ	7.20E-181	289/385(75.06)	634	Beta-glucosidase 1 OS=Oryza sativa subsp. japonica GN=BGLU1 PE=2 SV=1	Bglu
HJ_1-10k_transcript/196988	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05350|bglB	http://www.genome.jp/dbget-bin/www_bget?ko:K05350	[G]	Carbohydrate transport and metabolism 	XP_020259696.1	8.20E-234	380/500(76.00)	815	beta-glucosidase 18-like [Asparagus officinalis]	XM_020404256.1	3.00E-77	433/564(76.77)	3.00E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 18-like (LOC109836371), mRNA"	sp|Q7XSK2|BGL16_ORYSJ	1.00E-187	306/488(62.70)	657	Beta-glucosidase 16 OS=Oryza sativa subsp. japonica GN=BGLU16 PE=3 SV=2	Bglu
HJ_1-10k_transcript/288081	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020247295.1	2.30E-85	148/171(86.55)	3.22E+02	beta-glucosidase 31-like isoform X2 [Asparagus officinalis]	XM_020391706.1	9.00E-141	435/514(84.63)	5.10E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 31-like (LOC109825027), transcript variant X3, mRNA"	sp|B7F7K7|BGL31_ORYSJ	8.30E-76	125/166(75.30)	285	Beta-glucosidase 31 OS=Oryza sativa subsp. japonica GN=BGLU31 PE=2 SV=1	Bglu
HJ_1-10k_transcript/145259	3	GO:0005975: carbohydrate metabolic process (biological_process); GO:0008422: beta-glucosidase activity (molecular_function); GO:1901657: glycosyl compound metabolic process (biological_process);	K21362|SFR2	http://www.genome.jp/dbget-bin/www_bget?ko:K21362	[G]	Carbohydrate transport and metabolism 	XP_020254961.1	8.40E-241	397/481(82.54)	8.39E+02	"beta-glucosidase-like SFR2, chloroplastic [Asparagus officinalis]"	XM_020399372.1	0	1409/1639(85.97)	1.73E+03	"PREDICTED: Asparagus officinalis beta-glucosidase-like SFR2, chloroplastic (LOC109831898), mRNA"	sp|Q8L6H7|SFR2_ORYSJ	5.60E-225	368/497(74.04)	781	"Beta-glucosidase-like SFR2, chloroplastic OS=Oryza sativa subsp. japonica GN=SFR2 PE=2 SV=1"	Bglu
HJ_1-10k_transcript/169515	--	--	K21362|SFR2	http://www.genome.jp/dbget-bin/www_bget?ko:K21362	[G]	Carbohydrate transport and metabolism 	KAF8392743.1	6.40E-38	110/255(43.14)	165	hypothetical protein HHK36_023092 [Tetracentron sinense]	XM_020399372.1	4.00E-47	183/220(83.18)	2.00E+02	"PREDICTED: Asparagus officinalis beta-glucosidase-like SFR2, chloroplastic (LOC109831898), mRNA"	sp|Q8L6H7|SFR2_ORYSJ	1.40E-33	100/256(39.06)	146	"Beta-glucosidase-like SFR2, chloroplastic OS=Oryza sativa subsp. japonica GN=SFR2 PE=2 SV=1"	Bglu
HJ_1-10k_transcript/65433	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	ONK81818.1	4.30E-91	265/802(33.04)	3.42E+02	"uncharacterized protein A4U43_C01F33180, partial [Asparagus officinalis]"	XM_020413440.1	1.00E-97	341/411(82.97)	3.68E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 12-like (LOC109844421), mRNA"	sp|Q7XKV4|BGL12_ORYSJ	2.50E-63	230/868(26.50)	245	Beta-glucosidase 12 OS=Oryza sativa subsp. japonica GN=BGLU12 PE=1 SV=2	Bglu
HJ_1-10k_transcript/200025	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	ONK81818.1	4.80E-162	271/331(81.87)	5.77E+02	"uncharacterized protein A4U43_C01F33180, partial [Asparagus officinalis]"	XM_020413440.1	0	785/989(79.37)	6.91E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 12-like (LOC109844421), mRNA"	sp|B8AVF0|BGL12_ORYSI	4.70E-113	187/332(56.33)	409	Beta-glucosidase 12 OS=Oryza sativa subsp. indica GN=BGLU12 PE=3 SV=1	Bglu
HJ_1-10k_transcript/77823	--	--	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	ONK81818.1	2.70E-95	169/242(69.83)	356	"uncharacterized protein A4U43_C01F33180, partial [Asparagus officinalis]"	XM_020413440.1	3.00E-99	343/412(83.25)	3.74E+02	"PREDICTED: Asparagus officinalis beta-glucosidase 12-like (LOC109844421), mRNA"	sp|Q7XKV2|BGL13_ORYSJ	3.80E-77	136/240(56.67)	291	Beta-glucosidase 13 OS=Oryza sativa subsp. japonica GN=BGLU13 PE=2 SV=2	Bglu
HJ_1-10k_transcript/136816	3	GO:0005975: carbohydrate metabolic process (biological_process); GO:0008422: beta-glucosidase activity (molecular_function); GO:1901657: glycosyl compound metabolic process (biological_process);	K21362|SFR2	http://www.genome.jp/dbget-bin/www_bget?ko:K21362	[G]	Carbohydrate transport and metabolism 	XP_010914644.1	0.00E+00	506/646(78.33)	1.07E+03	"beta-glucosidase-like SFR2, chloroplastic isoform X1 [Elaeis guineensis]"	XM_020399372.1	0	1701/1985(85.69)	2.07E+03	"PREDICTED: Asparagus officinalis beta-glucosidase-like SFR2, chloroplastic (LOC109831898), mRNA"	sp|Q8L6H7|SFR2_ORYSJ	3.10E-271	444/603(73.63)	935	"Beta-glucosidase-like SFR2, chloroplastic OS=Oryza sativa subsp. japonica GN=SFR2 PE=2 SV=1"	Bglu
HJ_1-10k_transcript/147997	1	"GO:0016798: hydrolase activity, acting on glycosyl bonds (molecular_function);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020249967.1	1.00E-97	200/438(45.66)	364	beta-glucosidase 12-like isoform X3 [Asparagus officinalis] 	XM_016642284.1	7.00E-10	60/69(86.96)	7.68E+01	"PREDICTED: Nicotiana tabacum beta-glucosidase 40-like (LOC107816558), mRNA"	sp|Q7F9K4|BGL10_ORYSJ	1.30E-88	187/439(42.60)	328	Beta-glucosidase 10 OS=Oryza sativa subsp. japonica GN=BGLU10 PE=2 SV=1	Bglu
HJ_1-10k_transcript/196864	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0071704: organic substance metabolic process (biological_process);"	K01188|E3.2.1.21	http://www.genome.jp/dbget-bin/www_bget?ko:K01188	[G]	Carbohydrate transport and metabolism 	XP_020249967.1	1.80E-127	239/433(55.20)	4.62E+02	beta-glucosidase 12-like isoform X3 [Asparagus officinalis] 	XM_016642284.1	6.00E-10	60/69(86.96)	7.68E+01	"PREDICTED: Nicotiana tabacum beta-glucosidase 40-like (LOC107816558), mRNA"	sp|Q7XKV2|BGL13_ORYSJ	1.50E-114	217/433(50.12)	414	Beta-glucosidase 13 OS=Oryza sativa subsp. japonica GN=BGLU13 PE=2 SV=2	Bglu
HJ_1-10k_transcript/119766	--	--	K05349|bglX	http://www.genome.jp/dbget-bin/www_bget?ko:K05349	--	--	XP_020255983.1	0.00E+00	571/669(85.35)	1.16E+03	uncharacterized protein LOC109832911 [Asparagus officinalis] 	XM_020400397.1	0	1627/1870(87.01)	2.10E+03	"PREDICTED: Asparagus officinalis beta-glucosidase BoGH3B-like (LOC109832911), transcript variant X4, mRNA"	sp|A7LXU3|BGH3B_BACO1	8.60E-78	205/644(31.83)	293	Beta-glucosidase BoGH3B OS=Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153) GN=BACOVA_02659 PE=1 SV=1	Bglu
HJ_1-10k_transcript/119068	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05349|bglX	http://www.genome.jp/dbget-bin/www_bget?ko:K05349	--	--	XP_009400035.1	3.70E-290	479/606(79.04)	1003	PREDICTED: uncharacterized protein LOC103984290 [Musa acuminata subsp. malaccensis] 	XM_018824281.1	5.00E-156	1340/1839(72.87)	5.62E+02	"PREDICTED: Musa acuminata subsp. malaccensis beta-glucosidase BoGH3B (LOC103980862), transcript variant X5, mRNA"	sp|A7LXU3|BGH3B_BACO1	7.50E-82	212/648(32.72)	306	Beta-glucosidase BoGH3B OS=Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153) GN=BACOVA_02659 PE=1 SV=1	Bglu
HJ_1-10k_transcript/273649	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process);"	K05350|bglB	http://www.genome.jp/dbget-bin/www_bget?ko:K05350	[G]	Carbohydrate transport and metabolism 	ONK57356.1	2.30E-142	233/320(72.81)	5.11E+02	uncharacterized protein A4U43_C10F19250 [Asparagus officinalis]	XM_042526491.1	1.00E-70	534/718(74.37)	2.78E+02	"PREDICTED: Zingiber officinale beta-glucosidase 16-like (LOC121975091), transcript variant X2, mRNA"	sp|Q7XSK0|BGL18_ORYSJ	3.60E-120	201/306(65.69)	433	Beta-glucosidase 18 OS=Oryza sativa subsp. japonica GN=BGLU18 PE=3 SV=2	Bglu
